Time	Left Total	Right Total
0.264437913895	50251	50293
0.363957881927	50251	50293
0.465237855911	50251	50293
0.563435792923	50251	50293
0.661275863647	50251	50293
0.763959884644	50251	50293
0.862196922302	50251	50293
0.96461391449	50251	50293
1.06317400932	50251	50293
1.16512084007	50251	50293
1.2632329464	50251	50293
1.36680388451	50251	50293
1.46421694756	50251	50293
1.56645083427	50251	50293
1.66525697708	50251	50293
1.76355195045	50251	50293
1.86557888985	50251	50293
1.96414685249	50346	50394
2.06604981422	50592	50641
2.1653239727	50855	50900
2.26719689369	51109	51152
2.36524891853	51362	51403
2.46829295158	51614	51655
2.56615591049	51860	51904
2.6682908535	52107	52154
2.76865291595	52358	52406
2.86927080154	52607	52656
2.96726489067	52857	52907
3.06656193733	53108	53158
3.16830897331	53360	53406
3.26682090759	53611	53656
3.3711400032	53862	53907
3.4670419693	54109	54157
3.56913495064	54359	54408
3.66834592819	54610	54658
3.77017498016	54861	54908
3.86834692955	55108	55157
3.97134184837	55356	55408
4.06886982918	55609	55660
4.17124390602	55859	55910
4.27021193504	56107	56157
4.36833381653	56356	56406
4.4698369503	56608	56656
4.56960582733	56860	56907
4.67142391205	57110	57157
4.76950192451	57361	57409
4.87220692635	57611	57658
4.97019386292	57863	57908
5.07207489014	58114	58159
5.17126488686	58361	58408
5.27320098877	58610	58657
5.37118697166	58859	58908
5.47004294395	59109	59158
5.5727519989	59357	59408
5.67085385323	59610	59660
5.77329683304	59861	59909
5.87168192863	60112	60159
5.97463083267	60360	60408
6.07238197327	60609	60657
6.17411184311	60860	60908
6.27324199677	61112	61159
6.37555885315	61362	61408
6.47306489944	61609	61659
6.57648181915	61859	61908
6.67574000359	62110	62159
6.77215194702	62359	62408
6.87532401085	62608	62657
6.97312688828	62858	62908
7.07555484772	63106	63153
7.1747918129	63358	63404
7.27670097351	63611	63658
7.37450480461	63862	63910
7.47754096985	64112	64159
7.57533788681	64364	64410
7.67719888687	64612	64660
7.77636098862	64858	64909
7.87808680534	65108	65159
7.97622489929	65360	65409
8.07522892952	65611	65659
8.17742586136	65860	65909
8.27522397041	66111	66157
8.3783288002	66362	66407
8.47813487053	66615	66659
8.57892799377	66863	66910
8.67800092697	67112	67159
8.78059887886	67362	67410
8.87827992439	67614	67661
8.9804828167	67863	67911
9.07814192772	68109	68160
9.18121099472	68358	68409
9.27912998199	68609	68659
9.37720799446	68860	68910
9.48005080223	69108	69158
9.57830190659	69362	69409
9.6802380085	69614	69659
9.77953481674	69863	69908
9.88110089302	70111	70158
9.97966098785	70360	70409
10.0823478699	70610	70659
10.1802649498	70862	70911
10.2825958729	71110	71160
10.3811979294	71358	71409
10.47960186	71609	71660
10.5812819004	71860	71911
10.6805310249	72109	72160
10.782104969	72360	72411
10.8805568218	72611	72659
10.9834887981	72861	72910
11.0810899734	73112	73160
11.1834189892	73359	73410
11.281842947	73609	73660
11.3843269348	73860	73910
11.482049942	74110	74159
11.58522892	74358	74408
11.6830699444	74608	74659
11.7813329697	74858	74910
11.8847808838	75110	75160
11.9821019173	75293	75348
12.0854008198	75384	75451
12.1832289696	75407	75495
12.2850718498	75407	75496
12.3843078613	75407	75496
12.4863259792	75407	75496
12.5838158131	75407	75496
12.6871259212	75407	75496
12.7851858139	75407	75496
12.8831939697	75407	75496
12.9925758839	75407	75496
13.0845489502	75407	75496
13.1867129803	75407	75496
13.2852458954	75407	75496
13.3871879578	75407	75496
13.4859108925	75407	75496
13.588670969	75407	75496
13.6861197948	75407	75496
13.7890188694	75407	75496
13.8875148296	75407	75496
13.9899950027	75407	75496
14.0880990028	75407	75496
14.1863269806	75407	75496
14.2882130146	75407	75496
14.3860008717	75407	75496
14.4892950058	75407	75496
14.5873119831	75407	75496
14.6891570091	75407	75496
14.788659811	75407	75496
14.8901529312	75407	75496
14.9885690212	75407	75496
15.0921919346	75407	75496
15.1894338131	75407	75496
15.2873568535	75407	75496
15.3905229568	75407	75496
15.4888079166	75407	75496
15.5912709236	75407	75496
15.6898458004	75407	75496
15.7975199223	75407	75496
15.8898730278	75407	75496
15.9924058914	75407	75496
16.0904870033	75407	75496
16.1934559345	75407	75496
16.2911279202	75407	75496
